productType,price,sqft,rooms,bathrooms,location,pricePerSqft,latitude,longitude
Apartment,3150000,1544,3,3,Dubai Creek Harbour,2040.1554404145077,25.203389,55.350139
Residence,4700000,2700,5,4,Dubai Hills Estate,1740.7407407407406,25.093067784933,55.252916100774
Apartment,3370000,1071,1,2,Downtown Dubai,3146.591970121382,25.194644,55.282205
Apartment,2350000,867,1,2,Dubai Media City,2710.495963091119,25.091571616327,55.150411829763
Apartment,710000,311,0,1,Meydan City,2282.958199356913,25.173242,55.310984
Apartment,4150000,1056,1,2,Palm Jumeirah,3929.9242424242425,25.113844,55.139982
Apartment,1199999,775,1,2,Jumeirah Village Circle (JVC),1548.385806451613,25.048591,55.204014
House,13995000,7282,5,6,Jumeirah Golf Estates,1921.8621257896182,25.021615082305,55.186754477158
House,2800000,1794,2,3,The Springs,1560.7580824972129,25.068651524138,55.189923927059
Apartment,700000,336,0,1,Meydan City,2083.3333333333335,25.173665,55.308519
Apartment,1650000,809,2,2,Business Bay,2039.5550061804697,25.179857620119,55.252031336023
Apartment,3900000,1774,3,4,Dubai Creek Harbour,2198.421645997745,25.200385766071,55.350257095121
Apartment,525000,355,0,1,Dubailand,1478.8732394366198,25.042686790184,55.287904198182
Apartment,575000,473,0,1,DAMAC Hills,1215.644820295983,25.020692,55.24445
Residence,1810000,2546,4,4,Dubai South,710.9190887666929,24.867172264774,55.136124617201
Residence,3600000,2584,4,4,Arabian Ranches 3,1393.188854489164,25.06219163229,55.323659063988
Apartment,800000,774,1,2,Al Furjan,1033.59173126615,25.031487279461,55.139057995132
Apartment,1650000,1072,3,4,Meydan City,1539.1791044776119,25.172579594014,55.302232501781
Apartment,2000000,1056,2,2,Dubai Creek Harbour,1893.939393939394,25.204137299962,55.349576819315
Apartment,1650000,691,1,2,Dubai Creek Harbour,2387.8437047756875,25.20541,55.343872
Apartment,5495000,3890,3,5,Dubai Marina,1412.5964010282776,25.088199615479,55.14640045166
House,3650000,3110,3,5,Jumeirah Village Triangle (JVT),1173.6334405144694,25.047046,55.190178
House,11000000,3757,5,4,Dubai Hills Estate,2927.867979771094,25.093740953549,55.247585210327
Apartment,820000,800,1,2,Dubai Science Park,1025.0,25.073861,55.248326
Apartment,760000,832,1,2,Jumeirah Village Circle (JVC),913.4615384615385,25.06602,55.212093
Residence,31000000,6101,8,9,Jumeirah Beach Residence (JBR),5081.1342402884775,25.07992,55.134125
Apartment,999999,428,0,1,Jumeirah Lake Towers (JLT),2336.446261682243,25.064808066255,55.139634882013
Residence,3200000,2842,4,4,Reem,1125.9676284306827,25.009801270001,55.304550609238
Apartment,1800000,828,1,2,Downtown Dubai,2173.913043478261,25.193536913457,55.284457057714
Apartment,4850000,1682,2,3,Downtown Dubai,2883.472057074911,25.192714481392,55.283460859295
Apartment,1000000,1580,2,3,Dubai Silicon Oasis,632.9113924050633,25.107893,55.381413
Apartment,1950000,1920,3,3,Al Furjan,1015.625,25.028143,55.153742
Apartment,1950000,2722,2,2,Jumeirah Village Circle (JVC),716.3850110213078,25.047706,55.198632
Apartment,820000,620,1,2,Dubai Production City (IMPZ),1322.5806451612902,25.025723017048,55.18268266724
Apartment,3500000,1109,1,1,Palm Jumeirah,3155.9963931469792,25.100751,55.15502
Apartment,1725952,800,1,2,Sobha Hartland,2157.44,25.178557875826,55.311015293207
Apartment,2500000,1530,3,2,Jumeirah Lake Towers (JLT),1633.986928104575,25.069999694824,55.141201019287
House,18499999,8755,4,6,Dubai Marina,2113.0781267846946,25.082949827325,55.146495684778
Apartment,2400000,790,1,2,Jumeirah,3037.974683544304,25.239766957492,55.251476714629
Apartment,920000,843,1,2,Arjan,1091.3404507710557,25.058212,55.233619
Apartment,780000,758,1,2,Jumeirah Village Circle (JVC),1029.023746701847,25.049909713064,55.199105645875
Apartment,2345802,1179,2,3,Sobha Hartland,1989.6539440203562,25.178557875826,55.311015293207
Apartment,1646602,801,1,2,Sobha Hartland,2055.6828963795256,25.178557875826,55.311015293207
Apartment,1800000,959,2,2,Dubai Hills Estate,1876.9551616266945,25.11521,55.248445
Apartment,1450000,779,1,2,Sobha Hartland,1861.3607188703465,25.179953233136,55.303501599751
Apartment,800000,546,1,2,Arjan,1465.2014652014652,25.056080826897,55.240862886869
Apartment,1600000,803,1,2,Business Bay,1992.5280199252802,25.182245,55.254283
Apartment,2498752,1185,2,3,Sobha Hartland,2108.651476793249,25.178557875826,55.311015293207
Apartment,2788522,1326,2,3,Sobha Hartland,2102.957767722474,25.178557875826,55.311015293207
Apartment,3400000,1615,3,4,Dubai Creek Harbour,2105.2631578947367,25.203757789165,55.344225445111
Apartment,900000,738,1,2,Jumeirah Village Circle (JVC),1219.5121951219512,25.067077618716,55.203515300999
Apartment,1600000,735,2,1,Dubai Hills Estate,2176.8707482993195,25.11357,55.248332
Apartment,5299900,1043,1,2,Palm Jumeirah,5081.3998082454455,25.139818121707,55.141207046687
Apartment,1300000,1154,1,2,Business Bay,1126.5164644714039,25.19019,55.264923
House,6250000,4300,5,5,DAMAC Hills,1453.4883720930231,25.023023199323,55.257631316911
Apartment,2700000,777,1,1,Dubai Harbour,3474.903474903475,25.09941016296,55.140715968304
Apartment,3100000,1544,3,4,Dubai Marina,2007.7720207253885,25.087214,55.145463
Apartment,825000,767,1,2,DAMAC Hills,1075.619295958279,25.025242525869,55.244142941172
Apartment,1700000,950,1,1,Downtown Dubai,1789.4736842105262,25.189767,55.275553
Apartment,2299898,1859,2,3,Business Bay,1237.1694459386767,25.19098,55.266303
House,4100000,3286,4,3,Dubai Sports City,1247.7175897748023,25.025796731929,55.211995235143
House,4575000,2471,4,4,Dubai Hills Estate,1851.4771347632538,25.104507090167,55.255057719033
Residence,2600000,2489,4,4,Dubailand,1044.5962233828848,25.074183086055,55.360355065018
